datetime,n_provinces,solar_mean,solar_sd,precip_mean,precip_sd,t2m_mean,t2m_sd,w10_mean,w10_sd,w100_mean,w100_sd,Province
2023-01-01T06:00:00Z,10,0,0,3.153931659956773e-4,1.7452078969895567e-4,6.938131054329808,1.1250792937331018,1.3126028555442157,0.26967809146334676,1.4627061043534906,0.3352404834176968,South Italy
2023-01-01T07:00:00Z,5,22.077470703124998,1.4859086775697692,1.9163902228077255e-5,4.694178193937492e-5,9.218062337239607,1.5446747476578238,1.1993248452744103,0.5510915866600943,1.5683725397158,0.35893803670303037,Calabria
2023-01-01T07:00:00Z,10,14.92986623263889,1.1745852829438677,7.168273441493511e-6,9.145739066339383e-6,7.346828886039114,1.002354830611319,1.197748420220214,0.3383550926221238,1.4229288507436504,0.345956924718111,South Italy
2023-01-01T08:00:00Z,5,137.6223576388889,5.104638982058231,1.7462298274040222e-8,4.2773720507681915e-8,10.96731363932294,0.9858029636964077,1.2891283427987095,0.4940120055437034,1.6526908404826393,0.3160250445977917,Calabria
2023-01-01T08:00:00Z,10,115.38691931216931,4.5038535720525825,1.8350188978589497e-5,2.3192979108399464e-5,9.384538766490694,0.7422852411610519,1.3694743589993348,0.3637962222548502,1.523379787320242,0.3884219859117895,South Italy
2023-01-01T09:00:00Z,5,273.330037037037,6.495859026821351,0,0,13.013242594401065,0.527406294248414,1.1670100387398428,0.3173807204216999,1.5279831970524058,0.25903594622173043,Calabria
2023-01-01T09:00:00Z,10,240.3879101521164,6.889634008272968,0,0,12.042004251445192,0.3699640572770463,1.2502632079193916,0.34134021907015605,1.5550306513332541,0.3984749481319449,South Italy
2023-01-01T10:00:00Z,5,387.29648148148146,3.6772409952728218,6.353851252545913e-6,2.2010386386289345e-5,14.72063191731773,0.4065822292903768,1.1806075878678486,0.24585849663104606,1.4619771016160181,0.2831604300211568,Calabria
2023-01-01T10:00:00Z,10,342.6227708180708,5.994042597815025,3.1424767654150346e-5,5.418903685508529e-5,14.194258943774347,0.4549211344230944,0.9707615194138248,0.2704497047464895,1.322364464895572,0.35312719123863245,South Italy
2023-01-01T11:00:00Z,5,440.17583333333334,3.342905953743316,0,0,15.345680745442731,0.43227909886335936,0.9499668736337213,0.20040247682907344,1.1737210186680391,0.23032273990600605,Calabria
2023-01-01T11:00:00Z,10,405.4913449328449,3.8507917240512333,0,0,15.028531829498649,0.4144950974031943,1.072261625035063,0.26365005416589204,1.374267516677115,0.3337939895799375,South Italy
2023-01-01T12:00:00Z,5,439.6238148148148,2.9949341821631514,0,0,15.611558024088565,0.4289462317042903,0.8685277644235658,0.2235963452654933,1.0495928907025183,0.22837590201234378,Calabria
2023-01-01T12:00:00Z,10,403.9704815832316,3.871097174686354,0,0,15.787449280455895,0.47264203060994653,0.9701586540610768,0.26988089931763753,1.2558774473654457,0.3286089922676813,South Italy
2023-01-01T13:00:00Z,5,382.24205555555557,2.6752388197289396,0,0,15.486301676432314,0.481298421323786,1.0498758570526356,0.21375760658296844,1.2484559707205358,0.24017936601507084,Calabria
2023-01-01T13:00:00Z,10,346.250070960521,4.58076295898608,0,0,16.0169864975926,0.5031330660929957,0.8063609218464188,0.3184486604832118,1.0266544784540377,0.3462282414915192,South Italy
2023-01-01T14:00:00Z,5,262.16533796296295,7.240512735780574,0,0,15.345582071940127,0.5255028370888861,1.0834669402633252,0.2342414842630259,1.2802972038152554,0.18218730779976966,Calabria
2023-01-01T14:00:00Z,10,244.07010290750918,4.2701750260140745,0,0,16.006181110759382,0.5113361684047952,0.8099780635272141,0.26756395392031596,0.9862273695572965,0.3600265386155969,South Italy
2023-01-01T15:00:00Z,5,133.83521412037038,2.978140610742821,0,0,15.163528442382836,0.5495944405916516,0.9032065476099301,0.2974926365951306,1.201293325318388,0.24168567582491374,Calabria
2023-01-01T15:00:00Z,10,112.80019317765569,3.903422372027844,0,0,15.237692587157332,0.46749485466696306,1.0794514526209984,0.3340353037079941,1.2490286255651886,0.41524304402251944,South Italy
2023-01-01T16:00:00Z,5,18.073980034722222,1.1101527882104192,0,0,13.784291585286482,0.8267744084273693,0.9629192537050302,0.27406996666216676,1.0730441128267965,0.2642944635986964,Calabria
